regex,nl
\b([A-Z])&([AEIOUaeiou])\b,Lines that have words containing a capital letter as well as a vowel
((.*)(.)).*(dog).*,Lends that end with a character and a string 'dog'
.*([A-Za-z])|(.).*,lines that have either a letter or a character
([0-9]).*(([A-Za-z])&([a-z])).*,Items with a numeral preceding a letter or small letter.
".*(dog){2,}.*",lines with the string 'dog' at least 2 times
"((dog)|(truck)){5,}",lines containing the string 'dog' or the string 'truck' at least 5 times
(.*)([A-Za-z].*[0-9].*),lines which are ending with a letter followed by a number
((dog)&(truck)).*([0-9]).*,lines with  string 'dog' and string 'truck' before a number
\b([0-9])|((.*)(.))\b,lines with words with a number or ending with a character in them
(([AEIOUaeiou])*).*(([a-z])&([A-Z])).*,"lines with vowel, zero or more times before lower-case letter and a capital"
((.)|(dog)|([0-9])).*(truck).*,"Lines with a character, the string 'dog', or the string 'truck' with a number beforehand."
((([AEIOUaeiou])+)|(dog))(.*),lines starting in a vowel with string 'dog'
(\b([A-Za-z])|([A-Z])|([a-z])\b)+,lines with words and a letter
((dog).*(truck).*)|(~(ring)),lines with 'dog' before 'truck' or 'ring'
~(\b([A-Z])(.*)\b),lines that do not contain words that begin with a capital letter
\b(([0-9])&([A-Z])).*(dog).*\b,lines with words with a number and a capital letter before the string 'dog' in them
.*([0-9])|([a-z])|(dog).*,"lines with a number, a lower-case letter, or the string 'dog'"
[0-9],lines that contain only a number
.*(.*)([a-z]).*,lines which ends with a small letter
(dog).*((truck)&([A-Za-z])).*,Items with 'dog' preceding 'truck' and a letter.
"(([A-Za-z]){3,}).*([0-9]).*",lines containing a number preceded by a letter 3 or more times
\b([a-z])(.*)\b,lines that begin with words that beging with a lowercase letter
~((([A-Za-z])+).*(dog).*),Items without a letter at least one time preceding 'dog'.
(([0-9])&(dog)&([A-Za-z])).*(truck).*,"lines with a number, the string 'dog', and a letter preceding the string 'truck'"
"(([A-Za-z]){4,}).*(dog).*",lines with 4 ore more letter before the string 'dog'
(dog.*truck.*)|((.*)(ring)),lines with string 'dog' followed by string 'truck' or ending with string 'ring'
([A-Za-z]).*((dog)&(.)&([A-Z])).*,"lines with a letter before the string 'dog', a character, and a capital letter in them"
(.*)((~(dog))|([AEIOUaeiou])),lines not ending in the string 'dog' or vowel
\b([a-z]).*((.)|(dog)).*\b,lines with words with a lower-case letter before a character or the string 'dog' in them
(.*)(\b.\b),lines that end with only a character
(([AEIOUaeiou])+)|(~([0-9])),lines with a vowel at least once not being a number
((.*)([A-Za-z]))|(([a-z]).*(dog).*),lines ending in lower-case letter or with lower-case letter before string 'dog'
"(([0-9])|([A-Z])){7,}","lines containing a number or a capital letter, seven times or more"
((dog)&([AEIOUaeiou])&([0-9])).*([A-Z]).*,"lines possessing the 'dog' string, plus a vowel and also a number, and then an upper-case letter"
\b([AEIOUaeiou])|([a-z])\b,line with words containing a vowel or lower-case letter
"([0-9]).*((dog){4,}).*",lines with a number before 4 strings of 'dog'
~(([0-9])&([A-Za-z])&(dog)),"lines not having a number, not a letter, and not the string 'dog' in it"
.*(dog)|([a-z]).*,lines which are containing the string 'dog' or a lower-case letter
((.)|([a-z])|(dog)).*([A-Za-z]).*,"lines with a character, lower-case letter, or the string dog before a letter"
"((dog)|(..*[AEIOUaeiou].*)){4,}","lines with string 'dog' or character followed by vowel, 4 or more times"
\b([A-Z])|([0-9])\b,lines which have  a number or capital letter
(.*~([0-9]).*)+,lines with a number
([a-z]).*(([A-Z])&([0-9])).*,lines with a lower-case letter before capital letter and number
((dog)&(truck)&([A-Za-z])).*(ring).*,"lines containing the string 'dog', the string 'truck', and a letter followed by the sting 'ring'"
(((dog)|([A-Za-z]))(.*))+,lines starting in the string 'dog' or a letter
~(\b([AEIOUaeiou])|([A-Z])\b),lines without words with a vowel or capital letter
